Found,quasiharmonic,mode,:,phonon
T(K),volume,F(eV),S(J/K),H(J/K),a(-6/K),Cp(J/mol),Cv,Cpion,Bt(GPa),T_ph-D(K),T-D(K),F_el_atom,S_el_atom,C_el_atom,M_el,Seebeck_coefficients(10**-6,V/K),Lorenz_number(WOK^{-2}),Q_el,Q_p,Q_e,C_mu,W_p,W_e,Y_p,Y_e
55,14.845267687739069,-4.545346063022879,1.445835091811677,-438479.7035610473,2.1866503673635853e-06,4.056632169745846,4.054318234053069,4.0225939103396815,109.35747041809593,413.5452414730548,396.6262565135904,-9.667854073888295e-06,0.033942205753868714,0.03403825940616479,6.365560344888003e-05,2.3760366538498308,2.4509198660681895e-08,0.0012403659182020812,0.0006230532089211398,0.0006173036287607404,0.03404616946916029,0.000627218042399678,0.0006131478758024037,0.0008596084627446879,0.0008596084626449422,26.958797488242904,1.5952608050589228
60,14.845806614692973,-4.545434209438596,1.83558635874594,-438457.5941457679,2.656615226367941e-06,4.918373176095315,4.914647628864065,4.881201142299885,109.34131620740241,415.56802554330454,396.6006987513352,-1.1507550473455533e-05,0.037039924078847104,0.03717203379543027,7.614560113550879e-05,2.619312878931747,2.452981380586437e-08,0.0013534233486252882,0.0006801513936039355,0.0006732628742338787,0.03718251193521744,0.0006851325257766984,0.0006682908228485897,0.0009379297883364364,0.0009379297882285465,24.642696169764253,1.5973269017693685
65,14.846451870661907,-4.5455437015328854,2.2640021010434523,-438431.13357180683,3.13992806700618e-06,5.798868807205695,5.793231440301305,5.7585511899674815,109.32197287643305,417.6881259581404,396.57009850295583,-1.3508089986042254e-05,0.04014164317847466,0.04031761723821385,8.987067433448668e-05,2.8695370289014526,2.455276720288424e-08,0.00146658083102948,0.0007373583152996344,0.0007292134346149779,0.040331231365308154,0.0007432365395707532,0.0007233442914587268,0.0010163088625578728,0.0010163088624457967,22.65140477356358,1.6004205630927353
70,14.847205512027044,-4.545676291558681,2.7261778591924566,-438400.2542509058,3.628474541783483e-06,6.683238314789258,6.675132400225936,6.639762778095793,109.29937775391558,419.7840885234967,396.534358247813,-1.566974140931342e-05,0.043247804034960105,0.04347553669346488,0.00010486495643451843,3.1264462974824854,2.457762715720692e-08,0.0015798526867898373,0.0007946832083938833,0.0007851603968926738,0.04349293089376509,0.0008015415672919812,0.0007783111194978562,0.0010947537471876422,0.0010947537471323128,20.927915279331792,1.6041190637762626
75,14.848067949713588,-4.545833484609266,3.2172963519513065,-438364.9562983455,4.115565119321809e-06,7.55947426126684,7.548303095420171,7.512828102166701,109.27351726449464,421.7904529423228,396.4934584984258,-1.7992798018129107e-05,0.04635879352294878,0.046646159100139716,0.00012116081188287976,3.389652404030132,2.4604007367284724e-08,0.00169325214199879,0.0008521345939859276,0.000841108466060311,0.04666805629857457,0.0008600582694787555,0.0008331938725200347,0.0011732720368205698,0.0011732720367640152,19.425938874597175,1.6081601799664424
80,14.84903826065742,-4.546016552923781,3.732784600924361,-438325.2941637947,4.595870485886858e-06,8.4182322842123,8.40337578301851,8.368402545784619,109.24441768111792,423.6742783258105,396.4474430296569,-2.0477573993784436e-05,0.04947494760663745,0.04982973842768166,0.00013878837348137445,3.658706474135852,2.4631578632551794e-08,0.0018067911460336863,0.0009097201652670531,0.0008970618983049571,0.04985694254911507,0.0009187963387327549,0.0008879948073009316,0.0012518707472177909,0.001251870747158813,18.108229575608235,1.6123771993702025
85,14.850114476365968,-4.546226554467341,4.268407107811117,-438281.3643963807,5.065288439985906e-06,9.252518040761105,9.233348072035621,9.19949159269127,109.2121364877827,425.42159200455615,396.3964051941669,-2.31244012733837e-05,0.05259655622495346,0.05302644806983471,0.00015777535365137495,3.9331425924469823,2.4660067873720932e-08,0.0019204803260460628,0.0009674467617690435,0.000953024481248028,0.05305984582397913,0.000977764461272012,0.0009427158647740505,0.0013305562688851126,0.0013305562688271373,16.944846049727808,1.6166616875073057
90,14.85129383787887,-4.546464353349547,4.820313152901162,-438233.294920911,5.520780595987098e-06,10.057336432772836,10.033230087709802,10.001100031890472,109.17675473402448,427.0294288319621,396.3404758313073,-2.5933626640472053e-05,0.05572386852693173,0.05623640088236333,0.00017814703522864956,4.21250424338522,2.4689251041838677e-08,0.002034329024334992,0.0010253203978160537,0.0010089995428665924,0.05627696325870919,0.0010369703442817593,0.0009973586800532325,0.0014093343629895073,0.0014093343629300974,15.911636328464986,1.6209417908251635
95,14.852573013390685,-4.546730640517924,5.385052268516166,-438181.2359450432,5.9602031440059365e-06,10.829343937028009,10.799694373602822,10.76988427709347,109.1383705539742,428.5010892232056,396.2798129467051,-2.8905609302232134e-05,0.05885709775353804,0.05945965993453911,0.0001999263656584939,4.496358254576297,2.4718943872596692e-08,0.002148345381084367,0.0010833463204079194,0.001064989976347207,0.05950844345372838,0.0010964207793891004,0.001051924601695267,0.0014882101830158492,0.0014882101829559295,14.989006991430497,1.625169294700977
100,14.853948278942958,-4.547025953766399,5.959568509562815,-438125.35245645454,6.38214612761933e-06,11.566527405001965,11.530752211743758,11.503831162043623,109.09709384162008,429.8432899354568,396.2145931432267,-3.204071870327949e-05,0.06199642545840577,0.0626962429583435,0.00022313410129905714,4.7843002967250925,2.4748992692714257e-08,0.0022625364375008427,0.0011415290797729678,0.0011209982726709277,0.06275439069336376,0.0011561217220697974,0.0011064147154310454,0.0015671883104189522,0.001567188310358348,14.160953849273326,1.6293117378472766
105,14.85541566507942,-4.547350696505401,6.541181341370224,-438065.81817759306,6.785788677707821e-06,12.26792076938918,12.225468006085672,12.20197464636049,109.05304177086232,431.0644362008943,396.14500466608587,-3.533933264990127e-05,0.06514200499390611,0.06594612302868853,0.00024778896704775224,5.075955130474352,2.4779266379361286e-08,0.0023769082437130793,0.001199872601990765,0.0011770265558897154,0.06601486538509951,0.0012160783741465792,0.0011608298695664997,0.001646272796435548,0.0016462727963758637,13.414309509622552,1.6333474583671361
110,14.856971073366733,-4.54770515501077,7.1275587552595825,-438002.81080197165,7.1707732383026836e-06,12.933363397311572,12.883715587759312,12.8641541698698,109.006335366122,432.17359059200453,396.0712418770307,-3.8801835706356124e-05,0.06829396431474179,0.06920922744177424,0.00027390781008223707,5.370973933056107,2.4809649905191936e-08,0.0024914659622920303,0.0012583802575250897,0.0012330766181136747,0.06928988267120338,0.0012762952618515227,0.0012151707004405081,0.0017254672051479894,0.0017254672050877637,12.738161882930415,1.637262377944232
